School Level,Class ID,Description,Teacher,Room,Student Counts,Status,Meeting Times,Term Credit Hours
Upper School,DIS Pottery/Ceramics,DIS Pottery and Ceramics,"Chu Marvill, Heather",S-200,1 (M: 1),Active,D1-US-F,0.25
Upper School,HIS433-1,Europe: WW II and Beyond (Sem 2),"Tomczuk, Jamie",A-20,"20 (M: 18, F: 2)",Future,D1D3D5D6D8-US-H,0.5
Upper School,HIS451-1,The Modern Middle East,"Tomczuk, Jamie",A-20,"18 (M: 15, F: 3)",Active,D1D3D5D6D8-US-H,0.5
Upper School,HIS500-3,African American History-3,"Dawson, Jacqueline",A-20,"13 (M: 9, F: 4)",Active,D2D4D5D7D8-US-G,0.5
Upper School,HIS500-2,African American History-2,"Dawson, Jacqueline",A-20,"14 (M: 5, F: 9)",Active,D2D3D5D6D8-US-E,0.5
Upper School,HIS500-4,African American History-4,"Tomczuk, Jamie",A-20,"17 (M: 10, F: 7)",Active,D1D3D4D6D7-US-F,0.5
Upper School,HIS500-5,African American History-5,"Tomczuk, Jamie",A-20,"15 (M: 9, F: 6)",Active,D2D3D5D7D8-US-B,0.5
Upper School,HIS500-6,African American History-6,"Tomczuk, Jamie",A-20,"19 (M: 8, F: 11)",Active,D1D2D4D6D7-US-A,0.5
Upper School,Italian II (DIS Mino,Italian II (DIS Minor),"Pisone, Pamela",A-20,"4 (M: 2, F: 2)",Active,D1D5-US-D,0.25
Upper School,Italian III (DIS Min,Italian III (DIS Minor),"Pisone, Pamela",A-20,"3 (M: 2, F: 1)",Active,D4D7-US-D,0.25
Upper School,ADV 12-13,US Advisory 12-13,"Tomczuk, Jamie",A-20,"8 (M: 4, F: 4)",Active,M-Advsy,0
Upper School,HR 12-13,US Homeroom 12-13,"Tomczuk, Jamie",A-20,"8 (M: 4, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,HR 9-12,US Homeroom 9-12,"Sullivan, Samuel",A-21,"9 (M: 5, F: 4)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,German 4 (DIS Minor),German 4 (DIS Minor),"Kappel, Sarah",A-21,"3 (M: 1, F: 2)",Active,T:2:15 - 3:30,0.25
Upper School,GOA Checkin-A 3,GOA Checkin-A 3,"Lee, Andrew",A-21,2 (F: 2),Active,D3-US-I,0
Upper School,GOA Checkin-A 4,GOA Checkin-A 4,"Lee, Andrew",A-21,"4 (M: 2, F: 2)",Active,D4-US-I,0
Upper School,GOA Checkin-A 7,GOA Checkin-A 7,"Lee, Andrew",A-21,"4 (M: 2, F: 2)",Active,D7-US-I,0
Upper School,GOA Checkin-A 8,GOA Checkin-A 8,"Lee, Andrew",A-21,1 (F: 1),Active,D8-US-I,0
Upper School,Study Lab 9-2,Study Lab 9-2,"Dudurich, Jedi",A-21,"12 (M: 6, F: 6)",Active,D6-US-F,0
Upper School,Study Lab 9-3,Study Lab 9-3,"Kushner, Joy",A-21,"14 (M: 6, F: 7, NB: 1)",Active,D4-US-G,0
Upper School,Study Lab 9-6,Study Lab 9-6,"Charme-Zane, Sara",A-21,"12 (M: 6, F: 6)",Active,D2-US-G,0
Upper School,Study Lab 9-8,Study Lab 9-8,"Sullivan, Samuel",A-21,"11 (M: 7, F: 4)",Active,D1-US-F,0
Upper School,GOA Checkin-A 1,GOA Checkin-A 1,"Lee, Andrew",A-21,"3 (M: 1, F: 2)",Active,D1-US-I,0
Upper School,GOA Checkin-A 5,GOA Checkin-A 5,"Lee, Andrew",A-21,1 (F: 1),Active,D5-US-I,0
Upper School,ADV 9-12,US Advisory 9-12,"Sullivan, Samuel",A-21,"9 (M: 5, F: 4)",Active,M-Advsy,0
Upper School,HIS500-7,African American History-7,"Lee, Andrew",A-21,"14 (M: 6, F: 8)",Active,D1D3D5D6D8-US-H,0.5
Upper School,ENG510-3,English 11-3,"Sullivan, Samuel",A-21,"18 (M: 10, F: 8)",Active,D2D3D5D6D8-US-E,0.5
Upper School,HIS500-1,African American History-1,"Lee, Andrew",A-21,"14 (M: 7, F: 7)",Active,D1D2D4D5D7-US-D,0.5
Upper School,ENG650-1,Style Fundamentals-1,"Sullivan, Samuel",A-21,"14 (M: 6, F: 8)",Active,D3-US-F,0.25
Upper School,ENG650-2,Style Fundamentals-2,"Sullivan, Samuel",A-21,"13 (M: 8, F: 5)",Active,D3-US-C,0.25
Upper School,ENG650-3,Style Fundamentals-3,"Sullivan, Samuel",A-21,"14 (M: 5, F: 9)",Active,D7-US-G,0.25
Upper School,ENG650-7,Style Fundamentals-7,"Sullivan, Samuel",A-21,"17 (M: 8, F: 7, NB: 2)",Future,D7-US-G,0.25
Upper School,GOA Checkin-B 3,GOA Checkin-B 3,"Lee, Andrew",A-21,"2 (M: 1, F: 1)",Future,D3-US-I,0
Upper School,GOA Checkin-B 4,GOA Checkin-B 4,"Lee, Andrew",A-21,"3 (M: 1, F: 2)",Future,D4-US-I,0
Upper School,GOA Checkin-B 7,GOA Checkin-B 7,"Lee, Andrew",A-21,"3 (M: 1, F: 2)",Future,D7-US-I,0
Upper School,GOA Checkin-B 8,GOA Checkin-B 8,"Lee, Andrew",A-21,2 (F: 2),Future,D8-US-I,0
Upper School,GOA Checkin-B 1,GOA Checkin-B 1,"Lee, Andrew",A-21,"3 (M: 1, F: 2)",Future,D1-US-I,0
Upper School,GOA Checkin-B 5,GOA Checkin-B 5,"Lee, Andrew",A-21,"2 (M: 1, F: 1)",Future,D5-US-I,0
Upper School,ENG650-5,Style Fundamentals-5,"Sullivan, Samuel",A-21,"11 (M: 7, F: 4)",Future,D3-US-C,0.25
Upper School,ENG650-6,Style Fundamentals-6,"Sullivan, Samuel",A-21,"15 (M: 6, F: 9)",Future,D3-US-F,0.25
Upper School,DIS Territory/Colony,DIS Territory or Colony,"Preetam, Aaron",A-22,1 (M: 1),Active,D1-US-C,0.25
Upper School,AP US Hist,AP US Hist,"Preetam, Aaron",A-22,1 (M: 1),Active,D4-US-I,0
Upper School,HIS482,Genocide and Human Rights,"Preetam, Aaron",A-22,"20 (M: 11, F: 9)",Future,D1D3D5D6D8-US-H,0.5
Upper School,HIS471-1,African American Studies,"Preetam, Aaron",A-22,"20 (M: 11, F: 9)",Active,D1D3D5D6D8-US-H,0.5
Upper School,HIS620-4,US History: Adv.-4,"Preetam, Aaron",A-22,"17 (M: 11, F: 6)",Active,D2D4D5D7D8-US-G,0.5
Upper School,HIS620-5,US History: Adv.-5,"Preetam, Aaron",A-22,"11 (M: 6, F: 5)",Active,D2D3D5D6D8-US-E,0.5
Upper School,FILMFESTD-1,Film Fest Dir,"Kappel, Sarah",A-22,"4 (M: 2, F: 2)",Active,D3-US-F,0
Upper School,FILMFEST-1,Film Fest,"Kappel, Sarah",A-22,"11 (M: 7, F: 4)",Active,D5-US-I,0
Upper School,ADV 10-8,US Advisory 10-8,"Preetam, Aaron",A-22,"8 (M: 5, F: 3)",Active,M-Advsy,0
Upper School,YEARBOOK,Yearbook,"Waldman, Jeffrey",A-22,2 (F: 2),Active,D6-US-C,0
Upper School,Study Lab 9-1,Study Lab 9-1,"O'Donnell, Geo",A-22,"7 (M: 4, F: 3)",Active,D5-US-B,0
Upper School,HR 10-8,US Homeroom 10-8,"Preetam, Aaron",A-22,"8 (M: 5, F: 3)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,HR 10-1,US Homeroom 10-1,"Ceccatti, John",A-23,"9 (M: 7, F: 2)",Active,D1D2D3D4D5D6D7D8-USHome,0
Upper School,ADV 10-1,US Advisory 10-1,"Ceccatti, John",A-23,"9 (M: 7, F: 2)",Active,M-Advsy,0
Upper School,HIS620-6,US History: Adv.-6,"Ceccatti, John",A-23,"17 (M: 11, F: 6)",Active,D1D3D4D6D8-US-C,0.5
Upper School,SEM230-2,New Students 9-2,"Hogan, Callie",A-23,"9 (M: 6, F: 3)",Active,D4-US-G,0
Upper School,SEM230-3,New Students 9-3,"Hogan, Callie",A-23,"8 (M: 4, F: 4)",Active,D5-US-G,0
Upper School,HIS474-1,History of Science: Origins of Mod Science (Sem 1),"Ceccatti, John",A-23,"20 (M: 10, F: 10)",Active,D1D3D5D6D8-US-H,0.5
Upper School,ENG410-7,English 10-7,"McGeary, Joseph",A-23,"14 (M: 6, F: 8)",Active,D2D3D5D6D8-US-E,0.5
Upper School,HIS620-1,US History: Adv.-1,"Ceccatti, John",A-23,"18 (M: 9, F: 9)",Active,D2D3D5D7D8-US-B,0.5
Upper School,HIS620-2,US History: Adv.-2,"Ceccatti, John",A-23,"17 (M: 9, F: 8)",Active,D1D2D4D6D7-US-A,0.5
Upper School,HIS620-3,US History: Adv.-3,"Ceccatti, John",A-23,"18 (M: 9, F: 9)",Active,D1D2D4D5D7-US-D,0.5
Upper School,ART860-1,Digital Art,"Zwerling, Sarah",A-23,0,Active,,0.25
Upper School,HIS473-1,History of Science: Biology from Darwin to DNA (Sem 2),"Ceccatti, John",A-23,"20 (M: 7, F: 13)",Future,D1D3D5D6D8-US-H,0.5
Upper School,HIS462-1,Modern U.S. Political Ideologies and Issues: Adv. (Sem),"Oxholm, Theodor",A-24,"20 (M: 11, F: 9)",Future,D1D3D5D6D8-US-H,0.5
